id,rating,title,text,date,platform,theme
23,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-12","iOS","payments-sip"
24,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-15","iOS","payments-sip"
25,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-19","iOS","payments-sip"
26,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-22","iOS","payments-sip"
27,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-26","iOS","payments-sip"
28,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-29","iOS","payments-sip"
29,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-03-31","iOS","payments-sip"
30,2,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-02","Android","payments-sip"
31,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-05","Android","payments-sip"
32,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-09","Android","payments-sip"
33,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-13","Android","payments-sip"
34,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-16","Android","payments-sip"
35,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-18","Android","payments-sip"
36,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-23","Android","payments-sip"
37,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-25","Android","payments-sip"
38,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-27","Android","payments-sip"
39,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-04-30","Android","payments-sip"
40,1,"SIP payments irregular","Some SIP payments go through, some don't. No consistency. Need reliable payment system.","2025-05-02","Android","payments-sip"
41,1,"No customer support","Can't reach customer support for withdrawal issues. No phone number, no email, no chat. Very poor support system.","2025-05-09","Android","support"
42,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-12","Android","support"
43,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-16","Android","support"
44,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-19","Android","support"
45,1,"Customer support unresponsive","Submitted support ticket 5 days ago, no response. Customer service is terrible. No phone support available.","2025-05-23","Android","support"
